order_number,line_item,order_date_key,stock_date_key,customer_key,product_key,territory_key,quantity
SO45120,1,20150108,20011125,11751,344,9,1
SO45124,1,20150109,20011122,18725,313,9,1
SO45122,1,20150109,20011223,29236,314,4,1
SO45123,1,20150109,20011212,22971,311,6,1
SO45121,1,20150109,20010924,29169,310,1,1
SO45129,1,20150110,20011120,11759,350,9,1
SO45127,1,20150110,20011212,29158,313,1,1
SO45128,1,20150110,20011007,18726,310,9,1
SO45126,1,20150110,20011226,12480,311,7,1
SO45136,1,20150111,20010922,19084,312,9,1
SO45130,1,20150111,20011130,14975,313,10,1
SO45134,1,20150111,20011213,22895,314,6,1
SO45138,1,20150111,20011113,11452,349,9,1
SO45132,1,20150111,20011207,25985,350,4,1
SO45137,1,20150111,20011010,18735,310,9,1
SO45133,1,20150111,20010926,29163,314,1,1
SO45131,1,20150111,20010914,25979,344,1,1
SO45135,1,20150111,20011203,29264,310,4,1
SO45141,1,20150112,20011225,29222,312,4,1
SO45143,1,20150112,20011225,29278,310,4,1
SO45142,1,20150112,20011226,22901,311,6,1
SO45145,1,20150112,20011128,18716,314,9,1
SO45144,1,20150112,20011125,19093,311,9,1
SO45140,1,20150112,20011117,12485,312,7,1
SO45139,1,20150112,20010925,12468,314,7,1
SO45148,1,20150113,20011210,14656,342,1,1
SO45147,1,20150113,20011128,29166,312,4,1
SO45146,1,20150113,20010925,14950,310,10,1
SO45149,1,20150114,20011208,14941,314,10,1
SO45154,1,20150114,20011224,18767,313,9,1
SO45151,1,20150114,20011127,29202,314,1,1
SO45150,1,20150114,20010918,25980,346,1,1
SO45157,1,20150114,20011230,11750,344,9,1
SO45156,1,20150114,20011013,11465,344,9,1
SO45155,1,20150114,20011105,18900,312,9,1
SO45153,1,20150114,20011208,19089,310,9,1
SO45152,1,20150114,20011225,29276,310,1,1
SO45162,1,20150115,20011219,18721,312,9,1
SO45158,1,20150115,20011205,28419,344,7,1
SO45163,1,20150115,20011019,25714,328,9,1
SO45159,1,20150115,20011026,11400,349,10,1
SO45161,1,20150115,20011120,25978,349,4,1
SO45160,1,20150115,20011011,14984,310,10,1
SO45164,1,20150115,20011004,11453,349,9,1
SO45167,1,20150116,20011223,18706,311,9,1
SO45169,1,20150116,20011208,18766,314,9,1
SO45171,1,20150116,20011223,11754,345,9,1
SO45170,1,20150116,20010930,11462,351,9,1
SO45166,1,20150116,20011226,19083,312,9,1
SO45168,1,20150116,20011023,18738,312,9,1
SO45165,1,20150116,20011231,22881,313,6,1
SO45172,1,20150117,20010929,18008,334,7,1
SO45176,1,20150117,20011122,29254,313,1,1
SO45174,1,20150117,20011129,29198,313,4,1
SO45179,1,20150117,20011030,11457,351,9,1
SO45178,1,20150117,20011217,11456,347,9,1
SO45177,1,20150117,20011028,18903,314,9,1
SO45173,1,20150117,20011030,29157,314,4,1
SO45175,1,20150117,20011023,29238,313,4,1
SO45180,1,20150118,20011130,15046,311,10,1
SO45184,1,20150118,20011001,25717,320,9,1
SO45183,1,20150118,20020101,25711,334,9,1
SO45181,1,20150118,20011025,14929,310,10,1
SO45185,1,20150118,20011211,14949,310,10,1
SO45182,1,20150118,20011025,18769,312,9,1
SO45186,1,20150119,20011117,14991,313,10,1
SO45191,1,20150119,20011006,14660,328,1,1
SO45187,1,20150119,20011018,15047,310,10,1
SO45188,1,20150119,20011115,14861,311,10,1
SO45190,1,20150119,20011208,18931,313,9,1
SO45189,1,20150119,20011203,29145,310,1,1
SO45196,1,20150120,20011122,18739,311,9,1
SO45195,1,20150120,20011102,18929,313,9,1
SO45193,1,20150120,20011004,22889,310,6,1
SO45194,1,20150120,20011121,29221,313,4,1
SO45192,1,20150120,20020105,14846,314,10,1
SO45197,1,20150120,20011003,18902,314,9,1
SO45201,1,20150121,20011122,29168,312,4,1
SO45199,1,20150121,20011219,29476,346,8,1
SO45200,1,20150121,20020105,29148,311,4,1
SO45204,1,20150121,20011117,11460,345,9,1
SO45203,1,20150121,20011214,18907,314,9,1
SO45202,1,20150121,20011012,19094,314,9,1
SO45198,1,20150121,20010928,14847,313,10,1
SO45213,1,20150122,20011210,11464,349,9,1
SO45207,1,20150122,20011122,29156,312,4,1
SO45211,1,20150122,20011001,18724,311,9,1
SO45212,1,20150122,20011028,18729,314,9,1
SO45208,1,20150122,20011007,19884,344,6,1
SO45209,1,20150122,20020106,29201,314,4,1
SO45210,1,20150122,20011011,29239,311,4,1
SO45206,1,20150122,20020106,12474,313,7,1
SO45205,1,20150122,20011225,28420,344,7,1
SO45215,1,20150123,20011111,29208,312,1,1
SO45214,1,20150123,20011006,12464,310,7,1
SO45216,1,20150123,20011014,29261,313,4,1
SO45217,1,20150124,20011101,29144,314,1,1
SO45219,1,20150124,20011014,22893,313,6,1
SO45222,1,20150124,20011022,14728,330,1,1
SO45221,1,20150124,20011024,22903,314,6,1
SO45220,1,20150124,20011204,29207,312,1,1
SO45223,1,20150124,20011218,18930,312,9,1
SO45224,1,20150124,20011023,18723,311,9,1
SO45218,1,20150124,20011120,25982,345,1,1
SO45228,1,20150125,20011125,18768,314,9,1
SO45226,1,20150125,20011008,14662,342,4,1
SO45225,1,20150125,20011120,14653,338,4,1
SO45227,1,20150125,20011211,14726,322,1,1
SO45232,1,20150126,20011121,18736,310,9,1
SO45233,1,20150126,20011213,11472,344,9,1
SO45231,1,20150126,20011130,18908,314,9,1
SO45229,1,20150126,20011109,11387,349,10,1
SO45236,1,20150127,20011124,18731,312,9,1
SO45234,1,20150127,20011214,18009,328,7,1
SO45235,1,20150127,20011127,29147,314,1,1
SO45237,1,20150127,20020111,18737,314,9,1
SO45238,1,20150127,20011115,11459,346,9,1
SO45242,1,20150128,20011115,29223,311,1,1
SO45240,1,20150128,20011211,29155,310,1,1
SO45241,1,20150128,20011225,29203,311,4,1
SO45244,1,20150128,20011116,11756,350,9,1
SO45243,1,20150128,20011225,25715,334,9,1
SO45245,1,20150129,20011124,18928,310,9,1
SO45246,1,20150129,20011103,18709,310,9,1
SO45247,1,20150129,20011230,25716,334,9,1
SO45248,1,20150129,20020107,11451,344,9,1
SO45254,1,20150130,20011019,29252,314,4,1
SO45258,1,20150130,20011214,25712,340,9,1
SO45253,1,20150130,20011216,29237,314,4,1
SO45256,1,20150130,20011022,14664,336,4,1
SO45255,1,20150130,20011016,29258,314,1,1
SO45250,1,20150130,20011105,14147,310,8,1
SO45251,1,20150130,20011108,19422,334,8,1
SO45249,1,20150130,20020104,14928,310,10,1
SO45257,1,20150130,20020115,18718,314,9,1
SO45252,1,20150130,20011115,22877,312,6,1
SO45262,1,20150131,20011130,29265,313,4,1
SO45259,1,20150131,20011015,29225,314,1,1
SO45264,1,20150131,20011018,11454,349,9,1
SO45261,1,20150131,20011210,29175,312,1,1
SO45263,1,20150131,20011005,14722,340,1,1
SO45265,1,20150131,20011008,11461,350,9,1
SO45260,1,20150131,20011005,29150,310,1,1
SO45345,1,20150201,20011116,15048,313,10,1
SO45349,1,20150201,20011207,19568,312,9,1
SO45347,1,20150201,20011119,14733,342,4,1
SO45348,1,20150201,20011206,19562,311,9,1
SO45350,1,20150201,20020110,19613,311,9,1
SO45354,1,20150202,20011231,19432,340,8,1
SO45352,1,20150202,20020102,15081,313,10,1
SO45356,1,20150202,20020101,19096,313,9,1
SO45353,1,20150202,20011028,28630,310,6,1
SO45355,1,20150202,20020107,28778,312,6,1
SO45351,1,20150202,20011214,12520,313,7,1
SO45358,1,20150203,20020109,23172,312,6,1
SO45357,1,20150203,20011201,28443,351,7,1
SO45361,1,20150203,20011123,23057,312,6,1
SO45360,1,20150203,20011107,28036,313,6,1
SO45362,1,20150203,20011125,19271,313,9,1
SO45359,1,20150203,20011221,11227,313,4,1
SO45363,1,20150203,20011215,19565,312,9,1
SO45364,1,20150204,20011117,14161,311,8,1
SO45366,1,20150204,20011111,18011,330,7,1
SO45365,1,20150204,20011213,15078,313,10,1
SO45369,1,20150204,20011231,19269,314,9,1
SO45370,1,20150204,20011223,19270,312,9,1
SO45368,1,20150204,20011106,14732,328,1,1
SO45367,1,20150204,20011010,20561,328,10,1
SO45375,1,20150205,20020108,19596,313,9,1
SO45376,1,20150205,20011216,11761,344,9,1
SO45371,1,20150205,20011118,15062,310,10,1
SO45372,1,20150205,20011128,28449,348,7,1
SO45374,1,20150205,20011030,22996,312,6,1
SO45373,1,20150205,20011024,25994,349,1,1
SO45384,1,20150206,20020112,26789,338,6,1
SO45380,1,20150206,20020115,18010,324,7,1
SO45377,1,20150206,20011210,15077,313,10,1
SO45381,1,20150206,20011024,19988,344,6,1
SO45382,1,20150206,20020117,11129,313,1,1
SO45378,1,20150206,20011206,28178,310,6,1
SO45383,1,20150206,20011012,14734,332,1,1
SO45385,1,20150206,20011029,14735,334,1,1
SO45379,1,20150206,20011013,28363,313,6,1
SO45386,1,20150206,20011212,19607,312,9,1
SO45388,1,20150207,20011224,25986,350,1,1
SO45390,1,20150207,20020102,19560,310,9,1
SO45392,1,20150207,20020114,11762,344,9,1
SO45391,1,20150207,20011010,19588,313,9,1
SO45387,1,20150207,20011219,11224,310,1,1
SO45389,1,20150207,20020108,11090,310,4,1
SO45394,1,20150208,20020120,11468,348,10,1
SO45395,1,20150208,20011203,29352,313,4,1
SO45393,1,20150208,20011215,14171,312,8,1
SO45396,1,20150208,20011015,19594,312,9,1
SO45397,1,20150209,20011012,15051,313,10,1
SO45398,1,20150209,20020101,15059,312,10,1
SO45400,1,20150210,20011201,14162,313,8,1
SO45406,1,20150210,20011224,25987,351,4,1
SO45401,1,20150210,20011026,15058,310,10,1
SO45405,1,20150210,20020113,23209,312,6,1
SO45409,1,20150210,20011122,19612,312,9,1
SO45402,1,20150210,20011210,11413,344,10,1
SO45404,1,20150210,20011130,11217,310,1,1
SO45407,1,20150210,20011221,29285,314,4,1
SO45408,1,20150210,20011025,29326,314,4,1
SO45419,1,20150211,20020106,19555,314,9,1
SO45412,1,20150211,20020112,23137,310,6,1
SO45417,1,20150211,20011212,28620,310,6,1
SO45410,1,20150211,20011226,14149,310,8,1
SO45416,1,20150211,20011216,28161,310,6,1
SO45411,1,20150211,20011108,28197,313,6,1
SO45414,1,20150211,20011107,18038,330,7,1
SO45413,1,20150211,20011022,11191,312,4,1
SO45418,1,20150211,20011031,19264,311,9,1
SO45421,1,20150211,20020115,19576,313,9,1
SO45415,1,20150211,20011102,28092,312,6,1
SO45420,1,20150211,20011212,19561,313,9,1
SO45424,1,20150212,20011103,28165,311,6,1
SO45423,1,20150212,20011208,19997,348,6,1
SO45422,1,20150212,20011215,28198,310,6,1
SO45428,1,20150213,20020107,11414,346,10,1
SO45427,1,20150213,20011115,29481,349,8,1
SO45425,1,20150213,20011219,15056,310,10,1
SO45431,1,20150213,20011106,28013,311,6,1
SO45429,1,20150213,20011214,28129,310,6,1
SO45430,1,20150213,20011107,28176,312,6,1
SO45433,1,20150214,20020125,12547,310,7,1
SO45439,1,20150214,20011110,25823,326,9,1
SO45435,1,20150214,20011228,20562,336,10,1
SO45436,1,20150214,20011021,28130,312,6,1
SO45437,1,20150214,20020119,28169,312,6,1
SO45434,1,20150214,20020116,11252,311,4,1
SO45438,1,20150214,20011021,29334,310,1,1
SO45432,1,20150214,20011222,14167,312,8,1
SO45444,1,20150215,20011225,19102,310,9,1
SO45440,1,20150215,20011022,14198,312,8,1
SO45441,1,20150215,20020122,11216,312,1,1
SO45443,1,20150215,20011211,29350,313,4,1
SO45442,1,20150215,20020131,29335,314,1,1
SO45445,1,20150215,20011029,19105,310,9,1
SO45447,1,20150216,20011031,19558,313,9,1
SO45446,1,20150216,20011221,25990,345,1,1
SO45448,1,20150216,20020131,25718,324,9,1
SO45450,1,20150217,20020128,28624,312,6,1
SO45452,1,20150217,20020105,19559,314,9,1
SO45451,1,20150217,20020118,29279,311,4,1
SO45449,1,20150217,20020112,14189,310,8,1
SO45453,1,20150218,20011024,12549,311,7,1
SO45454,1,20150218,20011022,23074,312,6,1
SO45458,1,20150219,20011227,19599,311,9,1
SO45459,1,20150219,20020114,19605,310,9,1
SO45457,1,20150219,20011128,27752,313,6,1
SO45455,1,20150219,20020109,14163,310,8,1
SO45456,1,20150219,20011113,23113,312,6,1
SO45461,1,20150220,20011110,28646,311,6,1
SO45464,1,20150220,20020107,19586,314,9,1
SO45465,1,20150220,20011211,25819,342,9,1
SO45462,1,20150220,20020109,28647,310,6,1
SO45463,1,20150220,20020130,11171,312,4,1
SO45466,1,20150221,20011210,19611,311,9,1
SO45475,1,20150222,20011206,19601,313,9,1
SO45470,1,20150222,20011124,28177,312,6,1
SO45474,1,20150222,20011223,19595,310,9,1
SO45467,1,20150222,20011127,11422,345,10,1
SO45471,1,20150222,20011216,29280,313,1,1
SO45469,1,20150222,20020201,19989,350,6,1
SO45468,1,20150222,20020124,23164,311,6,1
SO45472,1,20150222,20011222,19095,313,9,1
SO45473,1,20150222,20011215,19592,310,9,1
SO45476,1,20150222,20011221,19614,314,9,1
SO45477,1,20150223,20020120,14160,313,8,1
SO45478,1,20150223,20011101,29354,313,1,1
SO45480,1,20150223,20020204,19564,313,9,1
SO45481,1,20150223,20011105,19563,313,9,1
SO45479,1,20150223,20011104,19099,313,9,1
SO45483,1,20150224,20011206,14181,314,8,1
SO45482,1,20150224,20011117,12522,310,7,1
SO45486,1,20150224,20011228,14737,324,1,1
SO45490,1,20150224,20020125,22976,313,6,1
SO45485,1,20150224,20011215,11257,312,4,1
SO45484,1,20150224,20011228,23267,313,6,1
SO45488,1,20150224,20011207,19577,311,9,1
SO45487,1,20150224,20011113,19556,313,9,1
SO45489,1,20150224,20020101,19602,310,9,1
SO45492,1,20150225,20011121,19429,330,8,1
SO45491,1,20150225,20020111,27672,311,6,1
SO45494,1,20150225,20011203,19609,310,9,1
SO45495,1,20150225,20011120,25821,342,9,1
SO45493,1,20150225,20011122,14731,320,4,1
SO45499,1,20150226,20020110,28626,314,6,1
SO45505,1,20150226,20011204,19593,313,9,1
SO45506,1,20150226,20011029,19615,311,9,1
SO45501,1,20150226,20020204,25993,350,1,1
SO45497,1,20150226,20011114,28354,311,6,1
SO45503,1,20150226,20011130,22995,314,6,1
SO45504,1,20150226,20011101,14730,340,4,1
SO45498,1,20150226,20011207,28574,312,6,1
SO45496,1,20150226,20020207,29340,314,6,1
SO45507,1,20150226,20011125,19616,314,9,1
SO45502,1,20150226,20011110,28173,314,6,1
SO45510,1,20150227,20020125,22998,310,6,1
SO45508,1,20150227,20011218,12510,310,7,1
SO45509,1,20150227,20020123,14148,310,8,1
SO45515,1,20150228,20020203,19557,310,9,1
SO45513,1,20150228,20011116,25996,348,4,1
SO45512,1,20150228,20011229,11175,312,4,1
SO45511,1,20150228,20020115,12523,311,7,1
SO45514,1,20150228,20011231,28051,314,6,1
SO45580,1,20150301,20020129,14428,310,8,1
SO45585,1,20150301,20011220,11905,351,9,1
SO45583,1,20150301,20011116,11274,311,1,1
SO45582,1,20150301,20020205,28656,312,6,1
SO45584,1,20150301,20020108,25828,336,9,1
SO45581,1,20150301,20020109,11263,313,1,1
SO45589,1,20150302,20011120,19784,314,9,1
SO45588,1,20150302,20011210,11275,313,4,1
SO45586,1,20150302,20020103,12613,311,7,1
SO45587,1,20150302,20011128,11531,310,4,1
SO45592,1,20150302,20011128,11897,345,9,1
SO45590,1,20150302,20020113,19763,311,9,1
SO45591,1,20150302,20020210,25831,326,9,1
SO45594,1,20150303,20011222,11282,312,1,1
SO45599,1,20150303,20011110,19794,312,9,1
SO45598,1,20150303,20020111,14744,340,1,1
SO45600,1,20150303,20020117,19628,313,9,1
SO45596,1,20150303,20020127,20564,332,10,1
SO45593,1,20150303,20020208,15118,310,10,1
SO45601,1,20150303,20020201,11893,348,9,1
SO45595,1,20150303,20020120,11515,314,4,1
SO45605,1,20150304,20011216,11626,311,4,1
SO45606,1,20150304,20020122,19967,312,9,1
SO45608,1,20150304,20020128,11896,349,9,1
SO45603,1,20150304,20011221,11296,312,1,1
SO45607,1,20150304,20011227,25830,330,9,1
SO45609,1,20150304,20020121,14774,311,8,1
SO45602,1,20150304,20011112,12607,312,7,1
SO45604,1,20150304,20011219,11317,314,1,1
SO45612,1,20150305,20020121,14795,312,8,1
SO45611,1,20150305,20020211,11535,310,1,1
SO45610,1,20150305,20011114,11303,310,1,1
SO45616,1,20150306,20011203,14800,314,8,1
SO45619,1,20150306,20020120,19787,311,9,1
SO45613,1,20150306,20020219,11522,314,1,1
SO45621,1,20150306,20020201,11768,346,9,1
SO45617,1,20150306,20011122,15354,311,10,1
SO45618,1,20150306,20011202,12618,311,7,1
SO45615,1,20150306,20011130,18137,342,7,1
SO45614,1,20150306,20020131,23385,312,6,1
SO45620,1,20150306,20020126,19951,314,9,1
SO45630,1,20150307,20011112,11899,351,9,1
SO45628,1,20150307,20011123,19795,314,9,1
SO45625,1,20150307,20011209,11307,314,4,1
SO45624,1,20150307,20011226,11291,313,4,1
SO45623,1,20150307,20020123,14769,311,8,1
SO45629,1,20150307,20020101,11892,347,9,1
SO45627,1,20150307,20020123,18039,324,7,1
SO45622,1,20150307,20020213,28470,344,7,1
SO45626,1,20150307,20020118,11259,310,1,1
SO45632,1,20150308,20011127,14775,314,8,1
SO45631,1,20150308,20020215,11237,350,8,1
SO45633,1,20150308,20020123,26011,351,4,1
SO45634,1,20150308,20011119,19766,314,9,1
SO45637,1,20150309,20020119,11525,314,1,1
SO45638,1,20150309,20011127,14746,324,4,1
SO45639,1,20150309,20011127,19782,311,9,1
SO45640,1,20150309,20011127,19964,311,9,1
SO45635,1,20150309,20020204,23351,313,6,1
SO45636,1,20150309,20020107,11302,311,1,1
SO45642,1,20150310,20011230,11623,313,4,1
SO45641,1,20150310,20020223,23306,311,6,1
SO45645,1,20150311,20020113,11482,351,10,1
SO45644,1,20150311,20011215,28458,350,7,1
SO45643,1,20150311,20020214,14541,310,8,1
SO45647,1,20150311,20011225,25997,347,4,1
SO45646,1,20150311,20020107,11289,312,4,1
SO45648,1,20150311,20020129,19791,312,9,1
SO45649,1,20150312,20020115,11319,310,4,1
SO45653,1,20150312,20011231,11764,347,9,1
SO45650,1,20150312,20011117,28652,312,6,1
SO45652,1,20150312,20011113,25826,334,9,1
SO45651,1,20150312,20020206,19771,311,9,1
SO45660,1,20150313,20020114,19797,312,9,1
SO45659,1,20150313,20011222,26003,349,4,1
SO45662,1,20150313,20020218,11906,350,9,1
SO45655,1,20150313,20020211,11323,312,4,1
SO45661,1,20150313,20020201,25827,342,9,1
SO45654,1,20150313,20020207,28478,348,7,1
SO45658,1,20150313,20020224,11270,312,4,1
SO45656,1,20150313,20011205,11617,313,4,1
SO45663,1,20150313,20011222,11901,347,9,1
SO45657,1,20150313,20011120,11266,311,1,1
SO45665,1,20150314,20020109,26004,346,4,1
SO45667,1,20150314,20011226,19957,314,9,1
SO45666,1,20150314,20020114,14738,326,4,1
SO45664,1,20150314,20020217,14713,312,8,1
SO45670,1,20150315,20020217,11541,310,1,1
SO45673,1,20150315,20011207,19790,312,9,1
SO45677,1,20150315,20011128,11895,348,9,1
SO45669,1,20150315,20020208,11528,314,4,1
SO45668,1,20150315,20020220,11298,312,4,1
SO45674,1,20150315,20020115,19948,314,9,1
SO45676,1,20150315,20011206,11765,349,9,1
SO45671,1,20150315,20020225,11628,312,4,1
SO45672,1,20150315,20020218,19438,340,8,1
SO45675,1,20150315,20020228,25829,340,9,1
SO45679,1,20150316,20020109,11540,314,4,1
SO45681,1,20150316,20011127,19789,314,9,1
SO45680,1,20150316,20011221,23283,310,6,1
SO45678,1,20150316,20011218,11281,313,4,1
SO45682,1,20150316,20020226,19950,312,9,1
SO45685,1,20150317,20011213,18132,322,7,1
SO45691,1,20150317,20020131,11898,344,9,1
SO45684,1,20150317,20020117,11485,345,10,1
SO45687,1,20150317,20011227,26005,344,1,1
SO45688,1,20150317,20020106,14741,320,4,1
SO45690,1,20150317,20020225,19958,310,9,1
SO45683,1,20150317,20011130,14709,311,8,1
SO45686,1,20150317,20020228,25998,346,1,1
SO45689,1,20150317,20020222,19773,312,9,1
SO45698,1,20150318,20011208,14747,326,4,1
SO45699,1,20150318,20011217,14750,336,4,1
SO45694,1,20150318,20011211,15097,312,10,1
SO45697,1,20150318,20020210,11516,314,4,1
SO45696,1,20150318,20020129,11326,314,4,1
SO45695,1,20150318,20020116,11292,311,4,1
SO45693,1,20150318,20011222,15083,313,10,1
SO45692,1,20150318,20020302,14425,313,8,1
SO45702,1,20150319,20020218,18131,320,7,1
SO45703,1,20150319,20020209,19947,310,9,1
SO45700,1,20150319,20011126,11278,310,1,1
SO45701,1,20150319,20020301,11538,311,4,1
SO45706,1,20150320,20020209,11267,313,4,1
SO45710,1,20150320,20020216,19963,310,9,1
SO45705,1,20150320,20020124,23378,311,6,1
SO45707,1,20150320,20011210,11904,345,9,1
SO45711,1,20150320,20020303,19621,313,9,1
SO45712,1,20150320,20020130,11767,346,9,1
SO45708,1,20150320,20020104,19765,313,9,1
SO45704,1,20150320,20011229,14772,312,8,1
SO45709,1,20150320,20020216,19793,313,9,1
SO45714,1,20150321,20020305,11534,312,4,1
SO45713,1,20150321,20020130,15088,314,10,1
SO45715,1,20150321,20011222,19770,310,9,1
SO45716,1,20150321,20011203,19783,310,9,1
SO45721,1,20150322,20020302,11766,345,9,1
SO45717,1,20150322,20011127,11325,310,1,1
SO45719,1,20150322,20020205,20000,350,6,1
SO45718,1,20150322,20020208,11272,311,4,1
SO45722,1,20150322,20020306,11908,351,9,1
SO45720,1,20150322,20020119,19653,313,9,1
SO45723,1,20150323,20020114,11290,311,4,1
SO45726,1,20150323,20020115,12614,313,7,1
SO45724,1,20150323,20020118,12620,312,7,1
SO45727,1,20150323,20020113,11909,350,9,1
SO45725,1,20150323,20011124,14789,312,8,1
SO45738,1,20150324,20011211,11900,346,9,1
SO45735,1,20150324,20020104,19792,314,9,1
SO45732,1,20150324,20020309,11537,311,4,1
SO45734,1,20150324,20011224,11630,314,1,1
SO45731,1,20150324,20011229,11286,310,4,1
SO45737,1,20150324,20020121,19965,311,9,1
SO45739,1,20150324,20020301,11903,348,9,1
SO45728,1,20150324,20011128,14426,313,8,1
SO45736,1,20150324,20020301,19960,310,9,1
SO45730,1,20150324,20020305,28471,350,7,1
SO45729,1,20150324,20020221,15087,313,10,1
SO45733,1,20150324,20011221,11624,311,4,1
SO45742,1,20150325,20020127,19620,312,9,1
SO45744,1,20150325,20011126,11894,351,9,1
SO45741,1,20150325,20020213,19788,314,9,1
SO45740,1,20150325,20020110,19786,314,9,1
SO45743,1,20150325,20020112,19631,313,9,1
SO45753,1,20150326,20020219,19966,311,9,1
SO45751,1,20150326,20020306,14739,340,4,1
SO45752,1,20150326,20020106,19772,314,9,1
SO45747,1,20150326,20011204,11539,314,4,1
SO45745,1,20150326,20020201,15089,312,10,1
SO45750,1,20150326,20011212,26001,345,1,1
SO45749,1,20150326,20020219,14797,311,8,1
SO45748,1,20150326,20020205,18046,332,7,1
SO45746,1,20150326,20020212,23376,312,6,1
SO45754,1,20150327,20020202,11529,311,1,1
SO45755,1,20150327,20020131,11536,314,4,1
SO45756,1,20150327,20020227,11625,313,4,1
SO45760,1,20150328,20011212,11329,311,4,1
SO45762,1,20150328,20020308,12621,312,7,1
SO45764,1,20150328,20020217,19652,310,9,1
SO45761,1,20150328,20020224,11629,314,4,1
SO45758,1,20150328,20020210,15106,312,10,1
SO45763,1,20150328,20011207,19959,314,9,1
SO45759,1,20150328,20020202,11295,313,4,1
SO45757,1,20150328,20020223,12561,312,7,1
SO45769,1,20150329,20020120,11327,314,4,1
SO45766,1,20150329,20020204,11297,312,4,1
SO45767,1,20150329,20020119,11299,310,4,1
SO45765,1,20150329,20020105,11245,350,8,1
SO45770,1,20150329,20020111,19956,311,9,1
SO45768,1,20150329,20011209,11324,310,4,1
SO45771,1,20150330,20020307,11271,314,4,1
SO45773,1,20150330,20011216,19949,311,9,1
SO45772,1,20150330,20020125,19785,313,9,1
SO45774,1,20150330,20011216,11261,312,4,1
SO45775,1,20150331,20020223,14207,314,8,1
SO45776,1,20150331,20020208,23281,313,6,1
SO45778,1,20150331,20011216,26002,351,1,1
SO45777,1,20150331,20011222,11907,346,9,1
SO45818,1,20150401,20020213,14868,328,4,1
SO45819,1,20150401,20020310,20160,312,9,1
SO45817,1,20150401,20020304,14801,311,8,1
SO45820,1,20150401,20020109,25832,340,9,1
SO45816,1,20150401,20011220,11830,313,4,1
SO45821,1,20150402,20020204,26041,346,1,1
SO45822,1,20150402,20020307,20246,312,9,1
SO45823,1,20150402,20020212,20253,311,9,1
SO45828,1,20150403,20020128,14753,330,1,1
SO45829,1,20150403,20020119,20245,310,9,1
SO45825,1,20150403,20020114,23725,314,6,1
SO45830,1,20150403,20011216,20151,314,9,1
SO45832,1,20150403,20020312,11916,351,9,1
SO45827,1,20150403,20011212,15440,312,10,1
SO45826,1,20150403,20020101,23858,310,6,1
SO45824,1,20150403,20011209,11696,312,1,1
SO45831,1,20150403,20020109,20158,313,9,1
SO45837,1,20150404,20020308,26050,348,1,1
SO45838,1,20150404,20020128,20213,311,9,1
SO45833,1,20150404,20020209,11815,313,1,1
SO45834,1,20150404,20011223,11816,312,4,1
SO45836,1,20150404,20020207,14823,311,8,1
SO45839,1,20150404,20020311,11915,349,9,1
SO45835,1,20150404,20020113,11688,313,1,1
SO45844,1,20150405,20020114,11812,312,1,1
SO45842,1,20150405,20020314,11742,314,4,1
SO45841,1,20150405,20020118,12804,311,7,1
SO45843,1,20150405,20020131,11775,312,4,1
SO45848,1,20150406,20020309,14852,340,4,1
SO45845,1,20150406,20020302,23566,311,6,1
SO45847,1,20150406,20020308,26015,345,4,1
SO45846,1,20150406,20020214,23592,314,6,1
SO45849,1,20150406,20020309,20154,312,9,1
